@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-80.53773795265366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.63321583535328,-88.63321583535328,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.5496726879911,-81.5496726879911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-94.70482424737801,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-80.53773795265366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.48999901130385,-75.47806427596639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-85.59741162934093,-85.59741162934093,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.70482424737801,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-87.62128110001584,-87.62128110001584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-91.66902004136564,-91.66902004136564,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.46612954062894,-75.47806427596639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-93.69288951204055,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-82.56160742332857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.62128110001584,-87.62128110001584,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-81.5496726879911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.60934636467837,-86.60934636467837,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.45419480529148,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.6809547767031,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5019337466413,-78.51386848197875,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-90.6570853060282,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.56160742332857,-81.5496726879911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.66902004136564,-90.6570853060282,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-88.63321583535328,-87.62128110001584,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.60934636467837,-87.62128110001584,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.5496726879911,-82.56160742332857,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.45419480529148,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.5496726879911,-81.5496726879911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.70482424737801,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-84.58547689400348,-83.57354215866602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-91.66902004136564,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.44226006995403,-72.44226006995403,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.70482424737801,-91.66902004136564,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-79.52580321731621,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.66902004136564,-89.64515057069075,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-84.58547689400348,-83.57354215866602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.6809547767031,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-79.52580321731621,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-84.58547689400348,-84.58547689400348,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-78.51386848197875,-78.51386848197875,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5019337466413,-77.5019337466413,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5019337466413,-77.5019337466413,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.52580321731621,-77.5019337466413,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.6809547767031,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.56160742332857,-83.57354215866602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.63321583535328,-93.69288951204055,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.52580321731621,-79.52580321731621,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.56160742332857,-83.57354215866602,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-76.48999901130385,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.59741162934093,-84.58547689400348,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.45419480529148,-74.46612954062894,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-90.6570853060282,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-67.38258639326676,-68.39452112860421,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-94.70482424737801,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.6809547767031,-93.69288951204055,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-84.58547689400348,-84.58547689400348,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.66902004136564,-89.64515057069075,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-85.59741162934093,-85.59741162934093,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-86.60934636467837,-86.60934636467837,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-99.76449792406528,-100.0,-100.0,-83.57354215866602,-84.58547689400348,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.62128110001584,-87.62128110001584,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.45419480529148,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-91.66902004136564,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.58547689400348,-83.57354215866602,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.52580321731621,-80.53773795265366,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-85.59741162934093,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.48999901130385,-75.47806427596639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.59741162934093,-85.59741162934093,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.46612954062894,-74.46612954062894,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.62128110001584,-86.60934636467837,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-76.48999901130385,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-81.5496726879911,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-71.43032533461658,-71.43032533461658,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-81.5496726879911,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.46612954062894,-76.48999901130385,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.60934636467837,-85.59741162934093,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-74.46612954062894,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.62128110001584,-89.64515057069075,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.44226006995403,-73.45419480529148,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.46612954062894,-74.46612954062894,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.70482424737801,-90.6570853060282,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.46612954062894,-75.47806427596639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.66902004136564,-92.6809547767031,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.5019337466413,-76.48999901130385,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.69288951204055,-94.70482424737801,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-92.6809547767031,-90.6570853060282,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.6570853060282,-91.66902004136564,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.53773795265366,-81.5496726879911,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.57354215866602,-84.58547689400348,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.47806427596639,-75.47806427596639,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.63321583535328,-88.63321583535328,-100.0,-100.0,-100.0,-100.0
