@relation Nexus_20_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.80451852420958,-76.01263407039839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.26655423899972,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.93147860851023,-83.93147860851023,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0584386928109,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-85.5152475161326,-85.5152475161326,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-88.68278533137735,-88.68278533137735,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.2207496165872,-76.01263407039839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.26655423899972,-90.26655423899972,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-81.55582524707668,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.5152475161326,-85.5152475161326,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.97205633945431,-80.7639407932655,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.72336306232143,-84.72336306232143,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.42886516277602,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.47466978518852,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.59640297802076,-78.38828743183194,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-87.89090087756615,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.55582524707668,-80.7639407932655,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.68278533137735,-87.89090087756615,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-86.3071319699438,-85.5152475161326,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.72336306232143,-85.5152475161326,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.7639407932655,-81.55582524707668,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.42886516277602,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-80.7639407932655,-80.7639407932655,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0584386928109,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.13959415469905,-82.34770970088786,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-88.68278533137735,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.63698070896484,-73.63698070896484,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0584386928109,-88.68278533137735,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.97205633945431,-79.18017188564312,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.68278533137735,-87.09901642375497,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.13959415469905,-82.34770970088786,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.47466978518852,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.97205633945431,-79.18017188564312,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.26655423899972,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.13959415469905,-83.13959415469905,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-78.38828743183194,-78.38828743183194,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.59640297802076,-77.59640297802076,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.59640297802076,-77.59640297802076,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.18017188564312,-77.59640297802076,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.47466978518852,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-81.55582524707668,-82.34770970088786,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.3071319699438,-90.26655423899972,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.18017188564312,-79.18017188564312,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.55582524707668,-82.34770970088786,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-76.80451852420958,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.93147860851023,-83.13959415469905,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.42886516277602,-75.2207496165872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-87.89090087756615,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-69.67755843990892,-70.4694428937201,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.26655423899972,-91.0584386928109,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.47466978518852,-90.26655423899972,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.13959415469905,-83.13959415469905,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.68278533137735,-87.09901642375497,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-83.93147860851023,-83.93147860851023,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-84.72336306232143,-84.72336306232143,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-95.01786096186682,-100.0,-100.0,-82.34770970088786,-83.13959415469905,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.5152475161326,-85.5152475161326,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-74.42886516277602,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-88.68278533137735,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.13959415469905,-82.34770970088786,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.18017188564312,-79.97205633945431,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-83.93147860851023,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.80451852420958,-76.01263407039839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.93147860851023,-83.93147860851023,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.2207496165872,-75.2207496165872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.5152475161326,-84.72336306232143,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-76.80451852420958,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-80.7639407932655,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-72.84509625515365,-72.84509625515365,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.97205633945431,-80.7639407932655,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.2207496165872,-76.80451852420958,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.72336306232143,-83.93147860851023,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-75.2207496165872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.5152475161326,-87.09901642375497,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-73.63698070896484,-74.42886516277602,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.2207496165872,-75.2207496165872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0584386928109,-87.89090087756615,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-75.2207496165872,-76.01263407039839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.68278533137735,-89.47466978518852,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-77.59640297802076,-76.80451852420958,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.26655423899972,-91.0584386928109,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-89.47466978518852,-87.89090087756615,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.89090087756615,-88.68278533137735,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-79.97205633945431,-80.7639407932655,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.34770970088786,-83.13959415469905,-100.0,-100.0,-100.0,-100.0
'L2.MC',-100.0,-100.0,-100.0,-100.0,-100.0,-76.01263407039839,-76.01263407039839,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.3071319699438,-86.3071319699438,-100.0,-100.0,-100.0,-100.0
